html_url,title,body,keyword,label,sentiment
https://github.com/B-R-H/Final_project/issues/4,Use azure pricing calculator to estimate cost of deployments,"Use azure pricing calculator to estimate cost of deployments.
",cost,other-addition-cost_calculator,
https://github.com/hashicorp/learn-consul-kubernetes/issues/64,Payments service missing in consul service mesh tutorial,"tutorial itself does not cover the app functionality, trying to run through payment on the demo app leads to following error: ``` Error: GraphQL error: Post.
",pay,other-false_positive,
https://github.com/coreos/tectonic-installer/issues/390,Consider using long loadbalancer connection timeouts to avoid api object re-lists,"relist of all the watched objects and this could potentially be an expensive operation. (This was brought up in a discussion of adding HA to.
",expens,other-performance-unknown,
https://github.com/coreos/tectonic-installer/issues/642,"Service IP addresses should use `cidrhost(tectonic_service_cidr, …)`","com/notifications/unsubscribe-auth/AANr3lRykwZXx7TafSs3GL7KeagVeUlTks5r6XeagaJpZM4NXWDJ> > . > Oh well, I guess I need to pay closer attention :) Sorry for causing confusion..
",pay,other-false_positive,
https://github.com/coreos/tectonic-installer/issues/831,Update TCO version to 0.3.3,"3.3 We need TCO 0.3.3 to enforce signing of payloads see: https://github.com/coreos-inc/tectonic-channel-operator/releases/tag/0..
",pay,other-false_positive,
https://github.com/coreos/tectonic-installer/issues/1132,make-update-payload.sh is probably not doing the correct thing,"make-update- payload sh is probably not doing the correct thing We have recently been [.
",pay,other-false_positive,
https://github.com/coreos/tectonic-installer/issues/1552,Bootkube failed on startup with status=254 during install on AWS using existing VPC,"propagate_at_launch=true},{key=""expirationDate"",value=""2017-12-31"",propagate_at_launch=true}] tectonic_autoscaling_group_extra_tags = [ { key = "" billingcode value = ""ops"", propagate_at_launch = true } ] // Instance size for the etcd node(s). Example: `.
",bill,other-false_positive,
https://github.com/coreos/tectonic-installer/issues/760,Docs: What am I building and what will it cost.,"up a demo environment. Could be helpful: https://docs.aws.amazon.com/ awsaccountbilling latest/aboutv2/price-changes.html @user that will be helpful, but without (.
Docs: What am I building and what will it cost Docs needs to describe clearly what is being built given the defaults.
",bill,other-addition-cost_calculator,
https://github.com/coreos/tectonic-installer/issues/762,docs: Describe what components are impacted by tectonic updates,"it would be beneficial to name the components potentially impacted by [update payloads https://github.com/coreos/tectonic-installer/blob/master/modules/update-payload/payload..
",pay,other-false_positive,
https://github.com/coreos/tectonic-installer/issues/978,tectonic identity static password validation timeout,"tectonic identity static password validation timeout Raising the cost when generating admin console passwords with `bcrypt-tool` results in increased runtime.
",cost,other-performance-unknown,
https://github.com/coreos/tectonic-installer/issues/1587,Docs have a few broken links,"installer/frontend/node_modules/handlebars/node_modules/async/README.md:1150 > Found broken reference ( payload payload) at ./installer/frontend/node_modules/handlebars/node_modules/async/README.md:1244 > Found.
",pay,other-false_positive,
https://github.com/coreos/tectonic-installer/issues/1334,Allow QA/Internal Users to test payload (staging channel) without signing ,"Allow QA/Internal Users to test payload staging channel) without signing During 1.6.7-tectonic.1 release, it.
",pay,other-addition-payload,
https://github.com/coreos/tectonic-installer/issues/954,Tectonic Console does not have stable connection to APIServer causing its data to not load,"level=error msg=""failed to create ID token: no key to sign payload with"" time=""2017-06-01T22:46:19Z"" level=error msg=""Storage health.
",pay,other-addition-payload,
https://github.com/coreos/tectonic-installer/issues/734,Remove critical-pod annotation from scheduler and controller-manager,"be done both in the installer and as part of an update payload squat has a fix up in https://github.com/coreos/tectonic-installer/.
",pay,other-false_positive,
